INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../tools.cpp in debug mode
   Generating csim.exe
[r][c][m]: 1 6 2	out : -7.568486691e+000		ref : -7.568586826e+000
[r][c][m]: 27 4 49	out : 3.160425110e+002		ref : 3.160426331e+002
[r][c][m]: 27 5 49	out : -2.723646240e+002		ref : -2.723648071e+002
[r][c][m]: 27 7 49	out : 1.141817398e+002		ref : 1.141820755e+002
[r][c][m]: 27 8 49	out : 6.886761475e+001		ref : 6.886778259e+001
[r][c][m]: 27 9 49	out : 2.352496796e+002		ref : 2.352498322e+002
[r][c][m]: 27 12 49	out : 1.354378510e+002		ref : 1.354377441e+002
[r][c][m]: 27 16 49	out : -4.871992493e+002		ref : -4.871990356e+002
[r][c][m]: 27 24 49	out : -1.678975372e+002		ref : -1.678969879e+002
[r][c][m]: 27 25 49	out : -4.727913818e+002		ref : -4.727911987e+002
[r][c][m]: 27 28 49	out : 2.376858826e+002		ref : 2.376860962e+002
[r][c][m]: 28 3 49	out : 3.385429688e+002		ref : 3.385431519e+002
[r][c][m]: 28 6 49	out : 4.984374084e+002		ref : 4.984376221e+002
[r][c][m]: 28 10 49	out : 1.610860748e+002		ref : 1.610862122e+002
[r][c][m]: 28 12 49	out : -4.703656006e+002		ref : -4.703654480e+002
[r][c][m]: 28 14 49	out : 6.386916351e+001		ref : 6.386946106e+001
[r][c][m]: 28 16 49	out : 8.622803345e+002		ref : 8.622798462e+002
[r][c][m]: 28 19 49	out : 3.749107361e+002		ref : 3.749108582e+002
[r][c][m]: 28 20 49	out : 1.672317657e+002		ref : 1.672316132e+002
[r][c][m]: 28 22 49	out : -2.163980408e+002		ref : -2.163979034e+002
[r][c][m]: 28 24 49	out : -5.151704712e+002		ref : -5.151706543e+002
[r][c][m]: 28 26 49	out : 4.306287537e+002		ref : 4.306291199e+002
[r][c][m]: 28 27 49	out : -7.988192139e+002		ref : -7.988193359e+002
[r][c][m]: 28 28 49	out : 6.882792664e+001		ref : 6.882775879e+001
[r][c][m]: 29 0 49	out : -4.184522095e+002		ref : -4.184524841e+002
[r][c][m]: 29 1 49	out : 1.858996964e+001		ref : 1.858983040e+001
[r][c][m]: 29 3 49	out : -1.949199829e+002		ref : -1.949198456e+002
[r][c][m]: 29 5 49	out : -2.457115326e+002		ref : -2.457116852e+002
[r][c][m]: 29 8 49	out : -8.102188110e-001		ref : -8.100368977e-001
[r][c][m]: 29 9 49	out : 1.296498566e+002		ref : 1.296499939e+002
[r][c][m]: 29 10 49	out : -3.231824646e+002		ref : -3.231825867e+002
[r][c][m]: 29 12 49	out : -4.392385864e+001		ref : -4.392367935e+001
[r][c][m]: 29 14 49	out : 6.271278381e+001		ref : 6.271291351e+001
[r][c][m]: 29 15 49	out : -1.897550507e+002		ref : -1.897553253e+002
[r][c][m]: 29 17 49	out : 2.362472839e+002		ref : 2.362474670e+002
[r][c][m]: 29 18 49	out : -9.382640076e+001		ref : -9.382623291e+001
[r][c][m]: 29 19 49	out : -5.157881470e+002		ref : -5.157879028e+002
[r][c][m]: 29 20 49	out : 1.303450623e+002		ref : 1.303448792e+002
[r][c][m]: 29 24 49	out : 5.073253174e+002		ref : 5.073259583e+002
[r][c][m]: 29 27 49	out : -4.390300598e+002		ref : -4.390297241e+002
[r][c][m]: 29 29 49	out : 4.856561661e+001		ref : 4.856544113e+001
[r][c][m]: 29 30 49	out : -2.963090210e+002		ref : -2.963091736e+002
[r][c][m]: 30 0 49	out : 1.320582428e+002		ref : 1.320583649e+002
[r][c][m]: 30 1 49	out : -5.659693604e+002		ref : -5.659694824e+002
[r][c][m]: 30 3 49	out : 1.936733704e+002		ref : 1.936731567e+002
[r][c][m]: 30 5 49	out : -1.102131271e+001		ref : -1.102121162e+001
[r][c][m]: 30 9 49	out : -5.139339600e+002		ref : -5.139337769e+002
[r][c][m]: 30 11 49	out : -3.899145508e+002		ref : -3.899143677e+002
[r][c][m]: 30 12 49	out : -5.841035767e+002		ref : -5.841034546e+002
[r][c][m]: 30 16 49	out : -2.852127380e+002		ref : -2.852124023e+002
[r][c][m]: 30 18 49	out : 5.016976013e+002		ref : 5.016974792e+002
[r][c][m]: 30 20 49	out : -7.277059937e+001		ref : -7.277078247e+001
[r][c][m]: 30 21 49	out : -7.737754822e+001		ref : -7.737768555e+001
[r][c][m]: 30 23 49	out : 3.271907043e+002		ref : 3.271903381e+002
[r][c][m]: 30 24 49	out : 6.717947388e+002		ref : 6.717951050e+002
[r][c][m]: 30 25 49	out : 9.818566284e+002		ref : 9.818551636e+002
[r][c][m]: 30 26 49	out : -1.055366287e+002		ref : -1.055368423e+002
[r][c][m]: 30 27 49	out : 6.571217651e+002		ref : 6.571215210e+002
[r][c][m]: 30 29 49	out : 4.976395264e+002		ref : 4.976398926e+002
[r][c][m]: 31 0 49	out : 2.018645325e+002		ref : 2.018646545e+002
[r][c][m]: 31 1 49	out : -1.938897095e+002		ref : -1.938895721e+002
[r][c][m]: 31 5 49	out : 2.085708160e+002		ref : 2.085704193e+002
[r][c][m]: 31 7 49	out : -9.069142151e+001		ref : -9.069119263e+001
[r][c][m]: 31 8 49	out : 2.794663048e+001		ref : 2.794674683e+001
[r][c][m]: 31 13 49	out : 2.610033569e+002		ref : 2.610031433e+002
[r][c][m]: 31 16 49	out : 3.719919739e+002		ref : 3.719923401e+002
[r][c][m]: 31 18 49	out : 2.086637726e+002		ref : 2.086633759e+002
[r][c][m]: 31 19 49	out : 3.127505798e+002		ref : 3.127507019e+002
[r][c][m]: 31 20 49	out : -3.372600098e+002		ref : -3.372598877e+002
[r][c][m]: 31 24 49	out : -2.449813232e+002		ref : -2.449810791e+002
[r][c][m]: 31 29 49	out : 9.137271881e+001		ref : 9.137287903e+001
[r][c][m]: 17 15 56	out : -9.179226685e+001		ref : -9.179216003e+001
[r][c][m]: 23 22 56	out : 3.230358887e+001		ref : 3.230347824e+001
[r][c][m]: 1 9 78	out : 8.833840942e+001		ref : 8.833853149e+001
[r][c][m]: 15 21 78	out : 6.767763519e+001		ref : 6.767749786e+001
[r][c][m]: 30 24 78	out : 9.256909180e+001		ref : 9.256922913e+001
[r][c][m]: 1 30 83	out : -7.826739502e+001		ref : -7.826726532e+001
[r][c][m]: 10 13 83	out : 4.566431046e+001		ref : 4.566442108e+001
[r][c][m]: 10 28 83	out : -7.227320099e+001		ref : -7.227330780e+001
[r][c][m]: 27 11 83	out : -1.316119862e+001		ref : -1.316107941e+001
[r][c][m]: 7 18 96	out : -8.393499756e+001		ref : -8.393513489e+001
[r][c][m]: 8 18 96	out : 9.329843140e+001		ref : 9.329854584e+001
[r][c][m]: 17 23 96	out : -1.247837830e+002		ref : -1.247839203e+002
[r][c][m]: 19 2 96	out : 1.045697556e+002		ref : 1.045696335e+002
[r][c][m]: 21 28 96	out : -1.717850342e+002		ref : -1.717849121e+002
[r][c][m]: 27 14 96	out : -6.749205017e+001		ref : -6.749193573e+001
[r][c][m]: 29 29 96	out : 1.097716293e+002		ref : 1.097715225e+002
[r][c][m]: 30 6 96	out : 7.121920776e+001		ref : 7.121906281e+001
[r][c][m]: 27 24 105	out : -6.543346405e+001		ref : -6.543357086e+001
[r][c][m]: 1 23 109	out : 6.560496521e+001		ref : 6.560509491e+001
[r][c][m]: 4 10 109	out : -1.055386047e+002		ref : -1.055387268e+002
[r][c][m]: 8 7 109	out : -1.016592331e+002		ref : -1.016593399e+002
[r][c][m]: 9 30 109	out : -6.061473846e+001		ref : -6.061460114e+001
[r][c][m]: 16 11 109	out : -1.644053497e+002		ref : -1.644052429e+002
[r][c][m]: 16 15 109	out : -1.005270157e+002		ref : -1.005268860e+002
[r][c][m]: 17 9 109	out : 9.648403931e+001		ref : 9.648414612e+001
[r][c][m]: 18 29 109	out : -1.233349533e+002		ref : -1.233350601e+002
[r][c][m]: 19 6 109	out : 9.940983582e+001		ref : 9.940967560e+001
[r][c][m]: 26 22 109	out : -1.282311249e+002		ref : -1.282312317e+002
[r][c][m]: 28 3 109	out : -8.238211060e+001		ref : -8.238200378e+001
[r][c][m]: 29 6 109	out : 1.498018799e+002		ref : 1.498016815e+002
[r][c][m]: 30 7 109	out : -8.578229523e+001		ref : -8.578218079e+001
[r][c][m]: 0 3 110	out : 2.753679199e+002		ref : 2.753680725e+002
[r][c][m]: 0 7 110	out : -2.665999756e+002		ref : -2.666002808e+002
[r][c][m]: 0 18 110	out : -1.646435852e+002		ref : -1.646434326e+002
[r][c][m]: 1 3 110	out : 2.975858459e+002		ref : 2.975860291e+002
[r][c][m]: 1 23 110	out : -1.093540649e+002		ref : -1.093539581e+002
[r][c][m]: 2 12 110	out : -1.916467438e+002		ref : -1.916465912e+002
[r][c][m]: 3 17 110	out : 3.121700439e+002		ref : 3.121703186e+002
[r][c][m]: 3 27 110	out : 2.195060577e+002		ref : 2.195062103e+002
[r][c][m]: 3 29 110	out : 1.388890648e+001		ref : 1.388879967e+001
[r][c][m]: 4 5 110	out : -3.101044922e+002		ref : -3.101042786e+002
[r][c][m]: 4 13 110	out : -1.542860565e+002		ref : -1.542861633e+002
[r][c][m]: 4 15 110	out : 3.434692993e+002		ref : 3.434695740e+002
[r][c][m]: 4 25 110	out : 2.468816223e+002		ref : 2.468817596e+002
[r][c][m]: 5 8 110	out : 2.817842712e+002		ref : 2.817844543e+002
[r][c][m]: 5 15 110	out : 3.797603989e+001		ref : 3.797615051e+001
[r][c][m]: 5 24 110	out : -1.965769653e+002		ref : -1.965770721e+002
[r][c][m]: 6 14 110	out : -2.348329926e+002		ref : -2.348331757e+002
[r][c][m]: 6 21 110	out : 5.501233292e+001		ref : 5.501216888e+001
[r][c][m]: 6 24 110	out : -1.081049957e+002		ref : -1.081048508e+002
[r][c][m]: 6 30 110	out : -2.352091675e+002		ref : -2.352089081e+002
[r][c][m]: 7 16 110	out : 2.810401611e+002		ref : 2.810403137e+002
[r][c][m]: 7 18 110	out : 1.591982269e+002		ref : 1.591979980e+002
[r][c][m]: 7 19 110	out : -8.136591339e+001		ref : -8.136603546e+001
[r][c][m]: 7 24 110	out : 3.506648254e+002		ref : 3.506650085e+002
[r][c][m]: 7 25 110	out : 2.620785522e+002		ref : 2.620783691e+002
[r][c][m]: 8 2 110	out : 2.163717194e+002		ref : 2.163715515e+002
[r][c][m]: 8 25 110	out : 3.106122131e+002		ref : 3.106124878e+002
[r][c][m]: 8 26 110	out : 3.398731995e+002		ref : 3.398730774e+002
[r][c][m]: 8 30 110	out : 3.187219429e+001		ref : 3.187204170e+001
[r][c][m]: 9 6 110	out : -7.700505829e+001		ref : -7.700516510e+001
[r][c][m]: 9 11 110	out : -2.015282593e+002		ref : -2.015283661e+002
[r][c][m]: 9 18 110	out : 2.085979309e+002		ref : 2.085978241e+002
[r][c][m]: 9 27 110	out : 2.207497253e+002		ref : 2.207499695e+002
[r][c][m]: 10 3 110	out : 1.075766449e+002		ref : 1.075764923e+002
[r][c][m]: 10 5 110	out : -7.311201477e+001		ref : -7.311190033e+001
[r][c][m]: 10 11 110	out : -3.712902527e+002		ref : -3.712900391e+002
[r][c][m]: 11 0 110	out : 2.652110901e+002		ref : 2.652113342e+002
[r][c][m]: 11 2 110	out : 1.142458572e+002		ref : 1.142459946e+002
[r][c][m]: 11 7 110	out : 2.230109863e+002		ref : 2.230107727e+002
[r][c][m]: 11 13 110	out : 1.510296326e+002		ref : 1.510298004e+002
[r][c][m]: 11 16 110	out : 1.035548859e+002		ref : 1.035547714e+002
[r][c][m]: 11 17 110	out : 2.081110992e+002		ref : 2.081116791e+002
[r][c][m]: 11 24 110	out : -3.276271057e+002		ref : -3.276272278e+002
[r][c][m]: 11 27 110	out : 1.419384003e+002		ref : 1.419385071e+002
[r][c][m]: 12 1 110	out : -1.565172577e+002		ref : -1.565171204e+002
[r][c][m]: 12 29 110	out : -2.515758057e+002		ref : -2.515760193e+002
[r][c][m]: 13 14 110	out : -1.299984360e+001		ref : -1.299994659e+001
[r][c][m]: 13 15 110	out : -8.188354492e+001		ref : -8.188367462e+001
[r][c][m]: 13 18 110	out : 1.942162781e+002		ref : 1.942166290e+002
[r][c][m]: 13 20 110	out : -1.769223175e+002		ref : -1.769221039e+002
[r][c][m]: 13 21 110	out : 1.354530945e+002		ref : 1.354532166e+002
[r][c][m]: 13 22 110	out : -4.185960388e+001		ref : -4.185970688e+001
[r][c][m]: 14 1 110	out : 2.106519928e+002		ref : 2.106518097e+002
[r][c][m]: 14 7 110	out : 8.968777466e+001		ref : 8.968790436e+001
[r][c][m]: 14 14 110	out : 3.281397705e+002		ref : 3.281400146e+002
[r][c][m]: 14 21 110	out : 7.521304321e+001		ref : 7.521283722e+001
[r][c][m]: 14 27 110	out : -7.106090546e+001		ref : -7.106103516e+001
[r][c][m]: 15 4 110	out : 1.927903900e+002		ref : 1.927902679e+002
[r][c][m]: 15 9 110	out : 1.739959564e+002		ref : 1.739960632e+002
[r][c][m]: 15 15 110	out : -6.156683350e+001		ref : -6.156671906e+001
[r][c][m]: 15 16 110	out : 1.054650726e+002		ref : 1.054651947e+002
[r][c][m]: 15 17 110	out : 1.732139206e+001		ref : 1.732149315e+001
[r][c][m]: 15 23 110	out : -3.467556381e+001		ref : -3.467567062e+001
[r][c][m]: 15 27 110	out : -2.299863892e+002		ref : -2.299862518e+002
[r][c][m]: 15 28 110	out : -1.233939743e+002		ref : -1.233938599e+002
[r][c][m]: 16 23 110	out : -2.044109497e+002		ref : -2.044111023e+002
[r][c][m]: 16 25 110	out : 1.705633545e+002		ref : 1.705634918e+002
[r][c][m]: 17 0 110	out : 1.536128540e+002		ref : 1.536127167e+002
[r][c][m]: 17 2 110	out : 1.250292206e+002		ref : 1.250293274e+002
[r][c][m]: 17 3 110	out : 2.265286560e+002		ref : 2.265283966e+002
[r][c][m]: 17 7 110	out : -2.828743286e+002		ref : -2.828741760e+002
[r][c][m]: 17 9 110	out : 1.555349731e+002		ref : 1.555352325e+002
[r][c][m]: 17 11 110	out : -1.388068848e+002		ref : -1.388067169e+002
[r][c][m]: 17 17 110	out : -2.765679321e+002		ref : -2.765676575e+002
[r][c][m]: 17 22 110	out : -3.271511230e+002		ref : -3.271513062e+002
[r][c][m]: 17 26 110	out : -2.781149864e+001		ref : -2.781160736e+001
[r][c][m]: 17 28 110	out : 2.708211365e+002		ref : 2.708214111e+002
[r][c][m]: 17 30 110	out : -1.630109100e+002		ref : -1.630108032e+002
[r][c][m]: 18 9 110	out : 5.869797230e+000		ref : 5.869695663e+000
[r][c][m]: 18 13 110	out : 1.056213074e+002		ref : 1.056214294e+002
[r][c][m]: 18 14 110	out : -1.503855133e+002		ref : -1.503857117e+002
[r][c][m]: 18 17 110	out : 2.428992310e+002		ref : 2.428994446e+002
[r][c][m]: 18 25 110	out : -1.961451111e+002		ref : -1.961449738e+002
[r][c][m]: 19 7 110	out : 1.592358551e+002		ref : 1.592359619e+002
[r][c][m]: 19 14 110	out : 1.370575562e+002		ref : 1.370573578e+002
[r][c][m]: 19 16 110	out : 2.784402161e+002		ref : 2.784406128e+002
[r][c][m]: 19 18 110	out : 1.663660889e+002		ref : 1.663662109e+002
[r][c][m]: 19 25 110	out : -1.685564728e+002		ref : -1.685561981e+002
[r][c][m]: 19 30 110	out : 1.973163757e+002		ref : 1.973162537e+002
[r][c][m]: 20 0 110	out : 1.577065430e+002		ref : 1.577066803e+002
[r][c][m]: 20 3 110	out : 8.151401520e+001		ref : 8.151420593e+001
[r][c][m]: 20 4 110	out : 1.366559410e+001		ref : 1.366546631e+001
[r][c][m]: 20 27 110	out : 1.111526413e+002		ref : 1.111524963e+002
[r][c][m]: 20 30 110	out : -2.003627472e+002		ref : -2.003628998e+002
[r][c][m]: 21 23 110	out : -1.884296722e+002		ref : -1.884297791e+002
[r][c][m]: 21 24 110	out : 1.335837097e+002		ref : 1.335838623e+002
[r][c][m]: 21 27 110	out : 1.876248169e+002		ref : 1.876249237e+002
[r][c][m]: 22 3 110	out : 8.913714600e+001		ref : 8.913728333e+001
[r][c][m]: 22 8 110	out : -2.367150421e+002		ref : -2.367151642e+002
[r][c][m]: 22 21 110	out : 2.408789444e+001		ref : 2.408773994e+001
[r][c][m]: 22 22 110	out : 1.827166138e+002		ref : 1.827167969e+002
[r][c][m]: 23 6 110	out : -1.929033279e+001		ref : -1.929020119e+001
[r][c][m]: 23 25 110	out : 3.384260864e+002		ref : 3.384262695e+002
[r][c][m]: 24 19 110	out : -1.047759628e+002		ref : -1.047758560e+002
[r][c][m]: 24 22 110	out : 2.315032043e+002		ref : 2.315033875e+002
[r][c][m]: 25 1 110	out : -8.149813843e+001		ref : -8.149835205e+001
[r][c][m]: 25 2 110	out : 7.119700909e+000		ref : 7.119499683e+000
[r][c][m]: 25 6 110	out : -3.028565025e+001		ref : -3.028548431e+001
[r][c][m]: 25 14 110	out : 1.599337616e+002		ref : 1.599336395e+002
[r][c][m]: 25 15 110	out : 9.172326660e+001		ref : 9.172312927e+001
[r][c][m]: 25 29 110	out : 4.404040527e+001		ref : 4.404029465e+001
[r][c][m]: 26 4 110	out : -1.188182907e+002		ref : -1.188180847e+002
[r][c][m]: 26 10 110	out : 1.133004074e+002		ref : 1.133005829e+002
[r][c][m]: 26 13 110	out : 3.012273865e+002		ref : 3.012275085e+002
[r][c][m]: 26 20 110	out : -2.492947197e+001		ref : -2.492959023e+001
[r][c][m]: 26 28 110	out : -1.192788925e+002		ref : -1.192790146e+002
[r][c][m]: 27 3 110	out : 7.654826355e+001		ref : 7.654808044e+001
[r][c][m]: 27 11 110	out : 2.423838959e+002		ref : 2.423837585e+002
[r][c][m]: 27 14 110	out : 9.205312347e+001		ref : 9.205326080e+001
[r][c][m]: 27 15 110	out : 3.490983582e+001		ref : 3.490971375e+001
[r][c][m]: 27 16 110	out : 1.395054779e+002		ref : 1.395055847e+002
[r][c][m]: 27 20 110	out : 2.345075684e+002		ref : 2.345074310e+002
[r][c][m]: 27 21 110	out : -2.027971344e+002		ref : -2.027972565e+002
[r][c][m]: 27 30 110	out : -7.375825500e+001		ref : -7.375838470e+001
[r][c][m]: 28 24 110	out : 2.823861389e+002		ref : 2.823862610e+002
[r][c][m]: 29 4 110	out : -1.302401123e+002		ref : -1.302399902e+002
[r][c][m]: 29 5 110	out : -8.207469940e+001		ref : -8.207454681e+001
[r][c][m]: 29 9 110	out : 2.011277618e+002		ref : 2.011279449e+002
[r][c][m]: 29 27 110	out : -9.980879974e+001		ref : -9.980863190e+001
[r][c][m]: 29 28 110	out : 2.204233551e+002		ref : 2.204232178e+002
[r][c][m]: 30 12 110	out : -3.101036072e+002		ref : -3.101037903e+002
[r][c][m]: 30 15 110	out : 2.657185059e+002		ref : 2.657186279e+002
[r][c][m]: 30 22 110	out : -2.588915710e+002		ref : -2.588914185e+002
[r][c][m]: 31 3 110	out : 1.193703003e+002		ref : 1.193701630e+002
[r][c][m]: 3 17 111	out : -2.121648560e+002		ref : -2.121647034e+002
[r][c][m]: 5 15 111	out : 1.302598114e+002		ref : 1.302599640e+002
[r][c][m]: 6 11 111	out : 1.324054565e+002		ref : 1.324053497e+002
[r][c][m]: 7 19 111	out : 7.185755157e+001		ref : 7.185771942e+001
[r][c][m]: 9 31 111	out : -1.195475388e+002		ref : -1.195476608e+002
[r][c][m]: 14 27 111	out : 1.074290466e+002		ref : 1.074291992e+002
[r][c][m]: 16 30 111	out : 1.485886841e+002		ref : 1.485888062e+002
[r][c][m]: 17 5 111	out : 6.748133850e+001		ref : 6.748145294e+001
[r][c][m]: 17 10 111	out : -7.744882965e+001		ref : -7.744866180e+001
[r][c][m]: 18 7 111	out : 5.161880112e+001		ref : 5.161892319e+001
[r][c][m]: 19 12 111	out : -5.544457245e+001		ref : -5.544446564e+001
[r][c][m]: 19 20 111	out : -9.838781738e+001		ref : -9.838768005e+001
[r][c][m]: 19 22 111	out : -1.358718109e+002		ref : -1.358716888e+002
[r][c][m]: 19 23 111	out : 1.510175171e+002		ref : 1.510174103e+002
[r][c][m]: 26 9 111	out : 1.111072311e+002		ref : 1.111069794e+002
[r][c][m]: 27 27 111	out : -1.339292603e+002		ref : -1.339291077e+002
[r][c][m]: 13 24 117	out : -6.436917114e+001		ref : -6.436929321e+001
[r][c][m]: 1 7 122	out : 2.811785889e+001		ref : 2.811773872e+001
[r][c][m]: 2 19 122	out : -1.052050323e+002		ref : -1.052048645e+002
[r][c][m]: 2 24 122	out : 8.113189697e+001		ref : 8.113174438e+001
[r][c][m]: 4 24 122	out : -1.167999802e+002		ref : -1.167998428e+002
[r][c][m]: 5 10 122	out : 8.033990479e+001		ref : 8.033977509e+001
[r][c][m]: 5 16 122	out : -7.366812134e+001		ref : -7.366793060e+001
[r][c][m]: 9 8 122	out : 1.090175095e+002		ref : 1.090177231e+002
[r][c][m]: 9 19 122	out : 1.577629089e+002		ref : 1.577630615e+002
[r][c][m]: 11 9 122	out : 3.283107758e+001		ref : 3.283094788e+001
[r][c][m]: 11 23 122	out : 1.057082748e+002		ref : 1.057081604e+002
[r][c][m]: 12 29 122	out : 1.180782623e+002		ref : 1.180783768e+002
[r][c][m]: 14 5 122	out : -1.287600098e+002		ref : -1.287601318e+002
[r][c][m]: 14 8 122	out : 1.120771790e+002		ref : 1.120770493e+002
[r][c][m]: 14 12 122	out : -8.740869904e+001		ref : -8.740859222e+001
[r][c][m]: 14 19 122	out : -9.428947449e+001		ref : -9.428958130e+001
[r][c][m]: 15 2 122	out : -1.368760376e+002		ref : -1.368758698e+002
[r][c][m]: 16 9 122	out : 1.517817688e+002		ref : 1.517816620e+002
[r][c][m]: 17 1 122	out : -2.305917969e+002		ref : -2.305915527e+002
[r][c][m]: 17 19 122	out : 4.567914963e+001		ref : 4.567927933e+001
[r][c][m]: 18 3 122	out : -9.401200867e+001		ref : -9.401190186e+001
[r][c][m]: 19 1 122	out : -1.160689392e+002		ref : -1.160687408e+002
[r][c][m]: 20 14 122	out : -8.429207611e+001		ref : -8.429219818e+001
[r][c][m]: 20 25 122	out : -9.915496826e+001		ref : -9.915512085e+001
[r][c][m]: 21 16 122	out : -3.285692596e+001		ref : -3.285705566e+001
[r][c][m]: 21 18 122	out : 4.974168015e+001		ref : 4.974180603e+001
[r][c][m]: 22 22 122	out : -1.666407471e+002		ref : -1.666405792e+002
[r][c][m]: 23 11 122	out : -1.228597488e+002		ref : -1.228598557e+002
[r][c][m]: 23 12 122	out : -1.237469711e+002		ref : -1.237471848e+002
[r][c][m]: 23 22 122	out : -1.021551666e+002		ref : -1.021552963e+002
[r][c][m]: 25 16 122	out : 8.446920013e+001		ref : 8.446933746e+001
[r][c][m]: 25 20 122	out : 2.063507538e+002		ref : 2.063505402e+002
[r][c][m]: 27 8 122	out : 1.045011063e+002		ref : 1.045008240e+002
[r][c][m]: 28 14 122	out : 1.459662781e+002		ref : 1.459664001e+002
[r][c][m]: 28 29 122	out : -6.497859955e+001		ref : -6.497872162e+001
[r][c][m]: 29 11 122	out : -6.935627747e+001		ref : -6.935615540e+001
[r][c][m]: 30 1 122	out : 5.555402374e+001		ref : 5.555414581e+001
[r][c][m]: 30 27 122	out : -1.423934784e+002		ref : -1.423933716e+002
[r][c][m]: 30 28 122	out : -1.049445190e+002		ref : -1.049443893e+002
[r][c][m]: 0 10 123	out : -1.279332504e+002		ref : -1.279331055e+002
[r][c][m]: 0 18 123	out : 1.711648712e+002		ref : 1.711647644e+002
[r][c][m]: 0 24 123	out : -5.335372543e+001		ref : -5.335361862e+001
[r][c][m]: 0 29 123	out : -9.087372589e+001		ref : -9.087360382e+001
[r][c][m]: 0 30 123	out : -1.061427994e+002		ref : -1.061426849e+002
[r][c][m]: 1 6 123	out : -2.673977356e+002		ref : -2.673979187e+002
[r][c][m]: 1 10 123	out : -5.971905518e+001		ref : -5.971891022e+001
[r][c][m]: 1 12 123	out : -2.161238403e+002		ref : -2.161237183e+002
[r][c][m]: 1 13 123	out : -2.955216370e+002		ref : -2.955217590e+002
[r][c][m]: 1 20 123	out : 1.613313904e+002		ref : 1.613312531e+002
[r][c][m]: 1 24 123	out : 2.686406250e+002		ref : 2.686408386e+002
[r][c][m]: 1 27 123	out : -1.709080048e+002		ref : -1.709081116e+002
[r][c][m]: 1 30 123	out : -2.206116028e+002		ref : -2.206114655e+002
[r][c][m]: 2 0 123	out : -2.167210693e+002		ref : -2.167208710e+002
[r][c][m]: 2 16 123	out : -3.171956787e+002		ref : -3.171958313e+002
[r][c][m]: 2 17 123	out : 1.552814636e+002		ref : 1.552816620e+002
[r][c][m]: 2 19 123	out : -1.059554291e+002		ref : -1.059552536e+002
[r][c][m]: 2 20 123	out : 1.462311249e+002		ref : 1.462309875e+002
[r][c][m]: 2 25 123	out : 1.413291931e+002		ref : 1.413293915e+002
[r][c][m]: 2 28 123	out : 2.926264648e+002		ref : 2.926263123e+002
[r][c][m]: 3 11 123	out : 4.730487823e+000		ref : 4.730694771e+000
[r][c][m]: 3 16 123	out : -1.919960938e+002		ref : -1.919958954e+002
[r][c][m]: 3 28 123	out : -1.404519806e+002		ref : -1.404521332e+002
[r][c][m]: 3 29 123	out : -2.372585297e+002		ref : -2.372587128e+002
[r][c][m]: 3 31 123	out : -6.976374054e+001		ref : -6.976359558e+001
[r][c][m]: 4 0 123	out : 1.923770294e+002		ref : 1.923767548e+002
[r][c][m]: 4 3 123	out : 2.386707458e+002		ref : 2.386709595e+002
[r][c][m]: 4 8 123	out : 1.587714386e+002		ref : 1.587715454e+002
[r][c][m]: 4 10 123	out : 4.025673523e+002		ref : 4.025669250e+002
[r][c][m]: 4 13 123	out : 9.506747437e+001		ref : 9.506759644e+001
[r][c][m]: 4 16 123	out : 1.872266541e+002		ref : 1.872269287e+002
[r][c][m]: 4 22 123	out : -7.590304565e+001		ref : -7.590292358e+001
[r][c][m]: 4 27 123	out : -2.811200562e+002		ref : -2.811198730e+002
[r][c][m]: 5 5 123	out : -2.691694031e+002		ref : -2.691696167e+002
[r][c][m]: 5 8 123	out : -1.920970306e+002		ref : -1.920971680e+002
[r][c][m]: 5 15 123	out : 1.718870239e+002		ref : 1.718871460e+002
[r][c][m]: 5 27 123	out : 2.643108826e+002		ref : 2.643110657e+002
[r][c][m]: 6 1 123	out : 2.578727112e+002		ref : 2.578725891e+002
[r][c][m]: 6 4 123	out : 1.340166016e+002		ref : 1.340164948e+002
[r][c][m]: 6 8 123	out : -3.446056366e+001		ref : -3.446070862e+001
[r][c][m]: 6 11 123	out : -1.696647949e+002		ref : -1.696646576e+002
[r][c][m]: 6 18 123	out : -2.422748566e+002		ref : -2.422746887e+002
[r][c][m]: 6 21 123	out : -8.890359497e+001		ref : -8.890345764e+001
[r][c][m]: 6 29 123	out : -1.610169373e+002		ref : -1.610173187e+002
[r][c][m]: 7 14 123	out : 2.503022766e+002		ref : 2.503025513e+002
[r][c][m]: 7 15 123	out : -2.179170685e+002		ref : -2.179169312e+002
[r][c][m]: 7 18 123	out : 1.207861023e+002		ref : 1.207859573e+002
[r][c][m]: 7 19 123	out : -1.239866714e+002		ref : -1.239868469e+002
[r][c][m]: 7 27 123	out : -1.795305939e+002		ref : -1.795307159e+002
[r][c][m]: 7 31 123	out : 2.052716827e+002		ref : 2.052718048e+002
[r][c][m]: 8 9 123	out : 1.465304413e+002		ref : 1.465306091e+002
[r][c][m]: 8 17 123	out : 3.589187317e+002		ref : 3.589189453e+002
[r][c][m]: 8 21 123	out : -4.570855331e+001		ref : -4.570837784e+001
[r][c][m]: 8 22 123	out : -4.550068665e+001		ref : -4.550082016e+001
[r][c][m]: 8 23 123	out : 1.662777252e+002		ref : 1.662778778e+002
[r][c][m]: 8 28 123	out : -3.291599121e+002		ref : -3.291597595e+002
